filename_mel,prob_ai_mel,prob_human_mel,true_label_mel,pred_label_mel,base_filename,filename_lyrics,prob_ai_lyrics,prob_human_lyrics,true_label_lyrics,pred_label_lyrics,filename_mfcc,prob_ai_mfcc,prob_human_mfcc,true_label_mfcc,pred_label_mfcc,filename_plp,prob_ai_plp,prob_human_plp,true_label_plp,pred_label_plp,filename_cqt,prob_ai_cqt,prob_human_cqt,true_label_cqt,pred_label_cqt,filename_chrm,prob_ai_chrm,prob_human_chrm,true_label_chrm,pred_label_chrm,weighted_prob_ai,weighted_prob_human,final_pred_label
H279N-Mel_Spectrogram.png,1.1099976493511574e-09,1.0,1,1,H279N,,,,,,H279N-MFCC.png,5.507722099576395e-13,1.0,1,1,H279N_plp.png,0.2993243038654327,0.7006756663322449,1,1,H279N-CQT.png,1.6755206111440655e-09,1.0,1,1,H279N-Chromagram.png,1.1091939313701005e-06,0.999998927116394,1,1,0.05612351554039355,0.9438764862716196,1
H8167N-Mel_Spectrogram.png,6.551629239126554e-10,1.0,1,1,H8167N,,,,,,H8167N-MFCC.png,1.3672250133822672e-05,0.9999862909317015,1,1,H8167N_plp.png,0.171981006860733,0.8280189633369446,1,1,H8167N-CQT.png,4.0464362882630667e-07,0.9999996423721312,1,1,H8167N-Chromagram.png,0.108671985566616,0.8913280367851257,1,1,0.05262507566149916,0.9473749250173567,1
S4594RN_segment_1-Mel_Spectrogram.png,1.0,8.372043835101761e-13,0,0,S4594RN_segment_1,,,,,,S4594RN_segment_1-MFCC.png,1.0,1.766646939849181e-09,0,0,S4594RN_segment_1_plp.png,0.8433550596237183,0.1566449403762817,0,0,S4594RN_segment_1-CQT.png,0.998728573322296,0.0012714118929579,0,0,S4594RN_segment_1-Chromagram.png,0.9939520955085754,0.0060478691011667,0,0,0.9692566990852355,0.03074329183840678,0
U524RN_segment_1_stretched-Mel_Spectrogram.png,1.0,5.991906970592709e-10,0,0,U524RN_segment_1_stretched,,,,,,U524RN_segment_1_stretched-MFCC.png,1.0,6.5424814003900425e-12,0,0,U524RN_segment_1_stretched_plp.png,0.983302652835846,0.016697384417057,0,0,U524RN_segment_1_stretched-CQT.png,1.0,1.357173040616999e-09,0,0,U524RN_segment_1_stretched-Chromagram.png,0.999000370502472,0.000999649753794,0,0,0.9966818168759346,0.003318194312528897,0
U1301RN_segment_2_stretched-Mel_Spectrogram.png,0.9999868869781494,1.315380086452933e-05,0,0,U1301RN_segment_2_stretched,,,,,,U1301RN_segment_2_stretched-MFCC.png,1.0,3.451138680388155e-12,0,0,U1301RN_segment_2_stretched_plp.png,0.8441274762153625,0.1558725535869598,0,0,U1301RN_segment_2_stretched-CQT.png,0.999876856803894,0.0001231662899954,0,0,U1301RN_segment_2_stretched-Chromagram.png,0.9725766777992249,0.0274233408272266,0,0,0.9656056612730025,0.034394362332897305,0
H22433N-Mel_Spectrogram.png,9.916481857885628e-09,1.0,1,1,H22433N,,,,,,H22433N-MFCC.png,2.032459815382026e-05,0.9999797344207764,1,1,H22433N_plp.png,0.1742866784334182,0.8257132768630981,1,1,H22433N-CQT.png,1.2666443581110798e-05,0.9999873638153076,1,1,H22433N-Chromagram.png,0.0016673885984346,0.998332679271698,1,1,0.032997575867918155,0.9670024476945399,1
S2018RN_segment_1-Mel_Spectrogram.png,1.0,1.5551948617797958e-11,0,0,S2018RN_segment_1,,,,,,S2018RN_segment_1-MFCC.png,0.999997615814209,2.3449176751455525e-06,0,0,S2018RN_segment_1_plp.png,0.9153159260749816,0.0846840068697929,0,0,S2018RN_segment_1-CQT.png,1.0,1.174215564191117e-12,0,0,S2018RN_segment_1-Chromagram.png,1.0,3.942167126069762e-08,0,0,0.9841212891042231,0.015878698355821768,0
S4062RN_segment_1-Mel_Spectrogram.png,0.9999780654907228,2.1978419681545347e-05,0,0,S4062RN_segment_1,,,,,,S4062RN_segment_1-MFCC.png,0.0498140156269073,0.950186014175415,0,1,S4062RN_segment_1_plp.png,0.1939114034175872,0.8060886263847351,0,1,S4062RN_segment_1-CQT.png,0.9999048709869384,9.513563418295234e-05,0,0,S4062RN_segment_1-Chromagram.png,0.8322606682777405,0.1677393764257431,0,0,0.6392240710556507,0.36077596072118473,0
U379RN_segment_2_stretched-Mel_Spectrogram.png,1.0,9.72198085924525e-11,0,0,U379RN_segment_2_stretched,,,,,,U379RN_segment_2_stretched-MFCC.png,1.0,1.3909440370262166e-15,0,0,U379RN_segment_2_stretched_plp.png,0.8889233469963074,0.1110765933990478,0,0,U379RN_segment_2_stretched-CQT.png,0.9993464350700378,0.0006535423453897,0,0,U379RN_segment_2_stretched-Chromagram.png,0.9962759017944336,0.0037241280078887,0,0,0.978352315723896,0.021647674477866377,0
H17644N-Mel_Spectrogram.png,4.016103218873468e-07,0.9999996423721312,1,1,H17644N,,,,,,H17644N-MFCC.png,0.0057494421489536,0.9942505359649658,1,1,H17644N_plp.png,0.0752625465393066,0.9247374534606934,1,1,H17644N-CQT.png,2.436391923765769e-07,0.9999997615814208,1,1,H17644N-Chromagram.png,0.7611473798751831,0.2388526648283004,1,0,0.15790502769057463,0.8420949885621666,1
U1081RN_segment_2-Mel_Spectrogram.png,1.0,2.850057412295825e-10,0,0,U1081RN_segment_2,U1081RN_segment_2_lyrics.txt,0.1070261299610138,0.8929738402366638,0.0,1.0,U1081RN_segment_2-MFCC.png,1.0,1.2659078230115026e-09,0,0,U1081RN_segment_2_plp.png,0.8995256423950195,0.1004743501543998,0,0,U1081RN_segment_2-CQT.png,0.000115285605716,0.9998847246170044,0,1,U1081RN_segment_2-Chromagram.png,0.2589282691478729,0.7410717010498047,0,1,0.545190605564494,0.4548093846674014,0
S5037RN_segment_2_shifted-Mel_Spectrogram.png,1.0,5.2710744502349347e-17,0,0,S5037RN_segment_2_shifted,,,,,,S5037RN_segment_2_shifted-MFCC.png,1.0,1.7309025736310598e-19,0,0,S5037RN_segment_2_shifted_plp.png,0.9874066710472108,0.0125933485105633,0,0,S5037RN_segment_2_shifted-CQT.png,1.0,1.233265989331045e-10,0,0,S5037RN_segment_2_shifted-Chromagram.png,1.0,8.650203817128777e-12,0,0,0.997638750821352,0.0023612528704762825,0
S5248RN_segment_1-Mel_Spectrogram.png,1.0,2.1168810248554245e-13,0,0,S5248RN_segment_1,,,,,,S5248RN_segment_1-MFCC.png,1.0,6.54635070110321e-12,0,0,S5248RN_segment_1_plp.png,0.4959732294082641,0.5040267705917358,0,1,S5248RN_segment_1-CQT.png,0.9999877214431764,1.2326108844717965e-05,0,0,S5248RN_segment_1-Chromagram.png,1.0,5.5661370623738555e-08,0,0,0.9054926782846451,0.0945073410691462,0
U52RN_segment_1_shifted-Mel_Spectrogram.png,1.0,5.618294024456461e-12,0,0,U52RN_segment_1_shifted,,,,,,U52RN_segment_1_shifted-MFCC.png,1.0,4.025930977480385e-10,0,0,U52RN_segment_1_shifted_plp.png,0.8755407929420471,0.1244591921567916,0,0,U52RN_segment_1_shifted-CQT.png,0.0003167342219967,0.9996832609176636,0,1,U52RN_segment_1_shifted-Chromagram.png,0.9995251893997192,0.0004748169449158,0,0,0.7891342593557055,0.2108657382055228,0
